0,142826,40.30,24.7,143140,41.12,25.1
2/0/0,142986,39.52,24.2,143300,40.35,24.7
2/0/3,143211,38.71,23.8,143525,39.54,24.3
2/1/0,143061,39.20,24.1,143375,40.03,24.5
2/1/1,143136,38.94,23.9,143450,39.77,24.4
2/1/2,143211,38.67,23.8,143525,39.50,24.2
2/2/0,143136,39.48,24.2,143450,40.31,24.7
2/4/1,143361,39.13,24.0,143675,39.96,24.5
2/5/1,143436,38.95,23.9,143750,39.78,24.4
2/6/0,143436,39.36,24.2,143750,40.19,24.6
2/8/1,143661,39.01,24.0,143975,39.84,24.4
2/9/0,143661,39.55,24.3,143975,40.37,24.7
2/9/1,143736,39.28,24.1,144050,40.11,24.6
2/9/2,143811,39.01,24.0,144125,39.84,24.5
2/10/0,143736,39.39,24.2,144050,40.21,24.7
2/10/1,143811,39.13,24.0,144125,39.95,24.5
2/10/2,143886,38.85,23.9,144200,39.68,24.4
2/10/3,143961,38.58,23.8,144275,39.41,24.2
2/11/0,143811,39.52,24.3,144125,40.35,24.7
2/11/1,143886,39.26,24.1,144200,40.09,24.6
2/11/2,143961,38.99,24.0,144275,39.82,24.4
2/12/0,143886,39.22,24.1,144200,40.05,24.6
2/12/1,143961,38.96,24.0,144275,39.79,24.4
2/12/2,144036,38.69,23.8,144350,39.51,24.3
2/13/0,143961,38.92,23.9,144275,39.75,24.4
2/13/1,144036,38.66,23.8,144350,39.49,24.3
2/14/0,144036,38.33,23.6,144350,39.15,24.1
2/14/1,144111,38.06,23.5,144425,38.89,23.9
2/15/0,144111,38.60,23.8,144425,39.43,24.2
3/0/0,143066,39.14,24.0,143380,39.97,24.5
3/1/0,143141,38.83,23.9,143455,39.66,24.3
3/2/0,143216,39.10,24.0,143530,39.93,24.5
3/2/1,143291,38.84,23.9,143605,39.67,24.3
3/8/0,143666,38.90,23.9,143980,39.73,24.4
3/9/0,143741,39.17,24.1,144055,40.00,24.5
3/9/1,143816,38.91,23.9,144130,39.74,24.4
3/9/2,143891,38.64,23.8,144205,39.47,24.2
3/9/3,143966,38.37,23.6,144280,39.20,24.1
3/10/0,143816,39.01,24.0,144130,39.84,24.4
3/10/1,143891,38.75,23.8,144205,39.58,24.3
3/10/2,143966,38.48,23.7,144280,39.31,24.2
3/10/3,144041,38.21,23.6,144355,39.04,24.0
3/10/4,144116,37.94,23.4,144430,38.77,23.9
3/11/0,143891,39.14,24.1,144205,39.97,24.5
3/11/1,143966,38.88,23.9,144280,39.71,24.4
3/11/2,144041,38.61,23.8,144355,39.44,24.2
3/12/0,143966,38.84,23.9,144280,39.67,24.4
3/12/1,144041,38.58,23.8,144355,39.41,24.2
3/12/2,144116,38.31,23.6,144430,39.14,24.1
3/13/0,144041,38.54,23.7,144355,39.37,24.2
3/13/1,144116,38.28,23.6,144430,39.11,24.1
3/13/2,144191,38.01,23.5,144505,38.84,23.9
3/14/0,144116,37.95,23.4,144430,38.78,23.9
3/14/1,144191,37.69,23.3,144505,38.52,23.7
3/14/2,144266,37.42,23.1,144580,38.25,23.6
3/15/0,144191,38.22,23.6,144505,39.05,24.0
4/0/0,143146,38.77,23.8,143460,39.60,24.3
4/1/0,143221,38.46,23.7,143535,39.29,24.1
4/1/1,143296,38.20,23.5,143610,39.02,24.0
4/2/0,143296,38.73,23.8,143610,39.56,24.3
4/4/1,143521,38.38,23.6,143835,39.21,24.1
4/10/0,143896,38.64,23.8,144210,39.47,24.2
4/10/1,143971,38.38,23.6,144285,39.21,24.1
4/11/0,143971,38.77,23.9,144285,39.60,24.3
4/11/1,144046,38.51,23.7,144360,39.34,24.2
4/12/0,144046,38.47,23.7,144360,39.30,24.2
4/12/1,144121,38.21,23.6,144435,39.04,24.0
4/12/2,144196,37.94,23.4,144510,38.77,23.9
4/13/0,144121,38.17,23.5,144435,39.00,24.0
4/13/1,144196,37.91,23.4,144510,38.74,23.9
4/14/0,144196,37.58,23.2,144510,38.41,23.7
4/15/0,144271,37.85,23.4,144585,38.68,23.8
